glottocode	longitude	longitude_180	latitude	elevation
abkh1242	41.16	41.16	43.06	946
afro1255	8.08	8.08	8.67	278
ainu1252	142.46	142.46	43.63	377
anim1240	141.45	141.45	-7.37	23
arau1255	287.975	-72.025	-39.4	608
araw1281	290.83	-69.17	1	144
atha1245	236.5	-123.5	53.75	801
atla1278	8.25	8.25	8.75	278
aust1305	100.5	100.5	14.83	17
aust1307	120.98	120.98	23.76	1133
ayma1253	291.5	-68.5	-17	4023
barb1265	281.87	-78.13	0.72	2095
basq1248	358.68378	-1.31622	43.2787	404
buna1274	125.99	125.99	-18.12	165
buru1296	74.82	74.82	36.2161	4466
cari1283	299.5	-60.5	-0.5	95
cayu1262	294.5178	-65.4822	-13.2482	143
jiva1245	281.81	-78.19	-3.45	1337
chib1249	276.58	-83.42	9.75	1290
choc1280	282.83	-77.17	6.83	85
chon1288	289.81	-70.19	-49.8675	439
chuk1271	165	165	61	502
cofa1242	282.9357	-77.0643	0.276675	436
drav1251	79.92	79.92	21.53	293
east1459	134	134	-1.5	222
elam1244	48.2333	48.2333	31.1833	12
eski1264	189.52	-170.48	63.69	22
garr1260	137.665	137.665	-18.05	214
giim1238	132.9533	132.9533	-12.6667	140
guai1249	299.78	-60.22	-25.12	121
gunw1250	134.1	134.1	-13.5	190
haid1248	227.955	-132.045	53.63	65
hadz1240	35.05	35.05	-3.83	1365
hmon1336	107	107	27	1163
yuwa1244	294.5733	-65.4267	5.63879	840
indo1319	71.55	71.55	34	491
iton1250	295.64252	-64.35748	-12.80431	145
iwai1246	132.7225	132.7225	-11.6	12
japo1237	140	140	37	707
karo1304	236.685	-123.315	41.8228	1461
kart1248	42.5	42.5	3	278
kawe1237	288.0367	-71.9633	-52.51	488
kore1284	128	128	37.5	459
kunz1244	291	-69	-23	2697
lara1258	130.884252	130.884252	-12.592844	14
leng1261	301.6058	-58.3942	-22.7857	92
mang1423	134.59	134.59	-14.86	58
mani1293	134.225	134.225	-12.2675	44
mata1289	297.5	-62.5	-22.5	250
maya1287	268.17	-91.83	15.42	2180
mirn1241	133.06	133.06	-16.34	229
mong1349	108.67	108.67	48.78	1499
morb1239	132.845	132.845	-2.85747	92
mose1249	292.16244	-67.83756	-14.64448	918
movi1243	294.3652	-65.6348	-13.8115	149
nada1235	291.6875	-68.3125	-0.13	104
nakh1245	46.5	46.5	42.5	1671
nilo1247	29.75	29.75	4.75	804
nubi1251	31.75	31.75	18.76	300
nucl1709	143.09	143.09	-5.43	2573
nucl1710	310	-50	-11	187
nyul1248	123.1	123.1	-17.37	54
otom1299	262.58	-97.42	17.67	2207
paez1247	283.68746	-76.31254	2.61516	2611
pama1250	142.49	142.49	-12.17	73
pano1259	285	-75	-7.5	183
peba1241	287.37	-72.63	-3.7	128
puel1244	291.334	-68.666	-42.223	1358
puin1248	292.3114	-67.6886	3.92974	100
pume1238	292.4004	-67.5996	7.10677	52
quec1387	282	-78	0.33	2821
saha1256	18	18	16	274
sena1264	141.075	141.075	-3.62	247
sino1245	94.75	94.75	26.1	1662
sout1516	132.6767	132.6767	-2.0367	23
taik1256	108	108	24	350
tang1340	139.0775	139.0775	-16.9775	4
ticu1244	290.13	-69.87	-3.66	124
tiwi1244	130.812402	130.812402	-11.558449	38
trum1247	306.4283	-53.5717	-11.8119	304
tsim1258	231.4	-128.6	54.293	604
tuca1253	287.5	-72.5	0.5	263
tung1282	131	131	44	424
tupi1275	298	-62	-8	92
turk1311	125	125	56	948
ural1272	30	30	68	176
uruc1242	291.565	-68.435	-17.735	4011
wadj1254	130.243534	130.243534	-13.204044	13
wage1238	131.13272	131.13272	-13.930709	76
waka1280	235.25	-124.75	48.67	120
waor1240	283.317	-76.683	-1.12312	285
worr1236	125.93	125.93	-15.92	493
yama1264	291.7352	-68.2648	-55.2748	58
yano1268	295.12	-64.88	1.68	609
yeni1252	93	93	57	244
yuka1259	169.6875	169.6875	66.985	625
zamu1243	300.71	-59.29	-19.5733	164
zuni1245	251.218	-108.782	35.0056	2134
bilu1245	156.66	156.66	-7.92	105
sali1255	236.75	-123.25	48.75	47
savo1255	159.814	159.814	-9.12853	198
seri1257	247.616	-112.384	28.9877	187
timo1261	124.59	124.59	-8.31	1031
touo1238	157.296	157.296	-8.58405	202
utoa1244	249.75	-110.25	27.5	16
west2604	132.25	132.25	-2.92	103
